stopID,pid,reason,stopCode,reasonText,reasonDetail,reasonExplanation
2443,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Officer witnessed commission of a crime,"staggering, unable to safely walk"
2444,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding
2447,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Matched suspect description,Both parties involved in argument.
2447,2,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Other Reasonable Suspicion of a crime,Both parties engaged in argument.
2448,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,UNSAFE DRIVING
2449,1,Reasonable Suspicion,13045,242 PC - BATTERY (M) 13045,Matched suspect description,matched description of suspect on 242 radio call.
2451,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Other Reasonable Suspicion of a crime,drunk
2453,1,Reasonable Suspicion,13219,245(A)(1) PC - ADW NOT FIREARM (F) 13219,Matched suspect description,"ARREST CONNECTED WITH 245A1, 594B1"
2453,1,Reasonable Suspicion,13219,245(A)(1) PC - ADW NOT FIREARM (F) 13219,Other Reasonable Suspicion of a crime,"ARREST CONNECTED WITH 245A1, 594B1"
2454,1,Traffic Violation,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099,"Non-moving Violation, including Registration Violation",Pursuit of justice
2455,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Matched suspect description,matched desc suspect seen fighting 
2456,1,Consensual Encounter resulting in a search,,,,fox was dupster diving at time of contact 
2457,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,driving bike with no front light at night 
2458,1,Traffic Violation,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141,Equipment Violation,SUBJECT DID NOT HAVE A REAL LIGHT ON BIKE
2459,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Other Reasonable Suspicion of a crime,RADIO CALL REFUED TO LEAVE
2461,1,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Officer witnessed commission of a crime,The subject was asked to leave PB Shore Club
2462,1,Traffic Violation,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098,Moving Violation,FAILURE TO STOP AT RED LIGHT
2463,1,Reasonable Suspicion,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000,Officer witnessed commission of a crime,engaging in sexual acts
2464,1,Reasonable Suspicion,65002,65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002,Officer witnessed commission of a crime,engaging in sexual acts
2465,1,Traffic Violation,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566,Moving Violation,cell phone
